neotoma_names,taxon_name
Cedrus cf. C. atlantica,cedrus_cf_c_atlantica
Ceiba,ceiba
Ceiba pentandra,ceiba_pentandra
Ceiba pentandra/Cochlospermum,ceiba_pentandra_cochlospermum
Celastraceae,celastraceae
Celastraceae undiff.,celastraceae_undiff
Celastrus,celastrus
Celastrus scandens,celastrus_scandens
Celtis,celtis
Celtis-type,celtis_type
Celtis (tetraporate),celtis_tetraporate
Celtis (type 1),celtis_type_1
Celtis (type 2),celtis_type_2
Celtis (type 3),celtis_type_3
Celtis (type 4),celtis_type_4
Celtis africana-type,celtis_africana_type
Celtis australis,celtis_australis
Celtis occidentalis,celtis_occidentalis
Celtis toka,celtis_toka
Celtis undiff.,celtis_undiff
Celtis/Aphananthe,celtis_aphananthe
Celtis/Holoptelea (tetraporate),celtis_holoptelea_tetraporate
Celtis/Hymenocardia,celtis_hymenocardia
Celtis/Maclura,celtis_maclura
Celtis/Maclura-type,celtis_maclura_type
Cenarrhenes nitida,cenarrhenes_nitida
Centrolobium,centrolobium
Centrolobium sp.,centrolobium_sp
Cephalanthus,cephalanthus
Cephalanthus occidentalis,cephalanthus_occidentalis
Ceratiola ericoides,ceratiola_ericoides
Ceratiola ericoides-type,ceratiola_ericoides_type
Ceratonia,ceratonia
Ceratonia siliqua,ceratonia_siliqua
Cerberiopsis,cerberiopsis
Cercidiphyllum,cercidiphyllum
Cercis,cercis
Cercis siliquastrum,cercis_siliquastrum
Cercocarpus,cercocarpus
Cercocarpus-type,cercocarpus_type
Cercocarpus/Purshia,cercocarpus_purshia
Ceriops,ceriops
Ceroxylon,ceroxylon
Ceroxylon-type,ceroxylon_type
Cespedesia,cespedesia
Cestrum,cestrum
Cestrum (type 2),cestrum_type_2
Cestrum undiff.,cestrum_undiff
cf. Abies,cf_abies
cf. Adenocarpus,cf_adenocarpus
cf. Aeonium,cf_aeonium
cf. Agave,cf_agave
cf. Albizia,cf_albizia
cf. Alnus,cf_alnus
cf. Amelanchier,cf_amelanchier
cf. Amperea,cf_amperea
cf. Anacardiaceae (type A),cf_anacardiaceae_type_a
cf. Anacardiaceae (type B),cf_anacardiaceae_type_b
cf. Andromeda polifolia,cf_andromeda_polifolia
cf. Annonaceae/Rubiaceae,cf_annonaceae_rubiaceae
cf. Apeiba tibourbou,cf_apeiba_tibourbou
cf. Arceuthobium,cf_arceuthobium
cf. Arctostaphylos,cf_arctostaphylos
cf. Ardisia,cf_ardisia
cf. Aspidosperma,cf_aspidosperma
cf. Astronium fraxinifolium (type A),cf_astronium_fraxinifolium_type_a
cf. Astronium fraxinifolium (type B),cf_astronium_fraxinifolium_type_b
cf. Balanites,cf_balanites
cf. Bauhinia,cf_bauhinia
cf. Bocconia,cf_bocconia
cf. Boscia,cf_boscia
cf. Bursera,cf_bursera
cf. Cadaba,cf_cadaba
cf. Canthium,cf_canthium
cf. Capparis,cf_capparis
cf. Carapa,cf_carapa
cf. Carica,cf_carica
cf. Carpinus,cf_carpinus
cf. Carya,cf_carya
cf. Casearia,cf_casearia
cf. Cassia,cf_cassia
cf. Castanea,cf_castanea
cf. Castanopsis,cf_castanopsis
cf. Casuarina equisetifolia,cf_casuarina_equisetifolia
cf. Ceanothus,cf_ceanothus
cf. Ceanothus velutinus,cf_ceanothus_velutinus
cf. Cedrus,cf_cedrus
cf. Ceiba,cf_ceiba
cf. Celtis,cf_celtis
cf. Cercis,cf_cercis
cf. Cercocarpus ledifolius,cf_cercocarpus_ledifolius
cf. Clusia,cf_clusia
cf. Coccoloba,cf_coccoloba
cf. Copaifera,cf_copaifera
cf. Cornus,cf_cornus
cf. Cupressaceae,cf_cupressaceae
cf. Cytisus,cf_cytisus
cf. Daphne,cf_daphne
cf. Dialium,cf_dialium
cf. Dioclea,cf_dioclea
cf. Elaeagnaceae,cf_elaeagnaceae
cf. Elaeoluma,cf_elaeoluma
cf. Empetrum,cf_empetrum
cf. Ephedra fragilis,cf_ephedra_fragilis
cf. Faramea,cf_faramea
cf. Ficus,cf_ficus
cf. Flacourtia,cf_flacourtia
cf. Frangula alnus,cf_frangula_alnus
cf. Fraxinus,cf_fraxinus
cf. Freycinetia,cf_freycinetia
cf. Fuchsia,cf_fuchsia
cf. Genista,cf_genista
cf. Gossypium,cf_gossypium
cf. Guazuma,cf_guazuma
cf. Heisteria,cf_heisteria
cf. Heliotropium/Lafoensia,cf_heliotropium_lafoensia
cf. Hippomane,cf_hippomane
cf. Hippophae rhamnoides,cf_hippophae_rhamnoides
cf. Homalium,cf_homalium
cf. Hyptis,cf_hyptis
cf. Ilex,cf_ilex
cf. Juglans,cf_juglans
cf. Juniperus,cf_juniperus
cf. Laguncularia,cf_laguncularia
cf. Larix,cf_larix
cf. Larix-type,cf_larix_type
cf. Leonardoxa,cf_leonardoxa
cf. Lonicera,cf_lonicera
cf. Loranthaceae,cf_loranthaceae
cf. Macherium (type 7),cf_macherium_type_7
cf. Malpighiaceae,cf_malpighiaceae
cf. Malus,cf_malus
cf. Melia,cf_melia
cf. Meliaceae,cf_meliaceae
cf. Meliaceae/Sapotaceae,cf_meliaceae_sapotaceae
cf. Melochia,cf_melochia
cf. mimosoid clade,cf_mimosoid_clade
cf. Morus,cf_morus
cf. Myrica,cf_myrica
cf. Myricaria germanica,cf_myricaria_germanica
cf. Myrsine (tricolpate),cf_myrsine_tricolpate
cf. Myrtus,cf_myrtus
cf. Nemopanthus,cf_nemopanthus
cf. Nyssa,cf_nyssa
cf. Olea,cf_olea
cf. Ostrya/Carpinus,cf_ostrya_carpinus
cf. Palicourea,cf_palicourea
cf. Pandanus,cf_pandanus
cf. Parthenocissus,cf_parthenocissus
cf. Pemphis,cf_pemphis
cf. Phillyrea,cf_phillyrea
cf. Phyllocladus,cf_phyllocladus
cf. Piperaceae,cf_piperaceae
cf. Pistacia,cf_pistacia
cf. Platanus,cf_platanus
cf. Populus,cf_populus
cf. Populus tremula,cf_populus_tremula
cf. Pouteria,cf_pouteria
cf. Protium,cf_protium
cf. Prunus,cf_prunus
cf. Psychotria,cf_psychotria
cf. Psydrax,cf_psydrax
cf. Pterocarya,cf_pterocarya
cf. Pterocarya fraxinifolia,cf_pterocarya_fraxinifolia
cf. Pyrus,cf_pyrus
cf. Quercus,cf_quercus
cf. Quintinia,cf_quintinia
cf. Rapanea,cf_rapanea
cf. Rhamnaceae,cf_rhamnaceae
cf. Rhamnus,cf_rhamnus
cf. Rhamnus alnifolia,cf_rhamnus_alnifolia
cf. Rhizophora,cf_rhizophora
cf. Rhododendron,cf_rhododendron
cf. Rhododendron lapponicum,cf_rhododendron_lapponicum
cf. Rhododendron subsect. Ledum,cf_rhododendron_subsect_ledum
cf. Rhus,cf_rhus
cf. Ribes,cf_ribes
cf. Rubiaceae,cf_rubiaceae
cf. Rubus,cf_rubus
cf. Rubus arcticus,cf_rubus_arcticus
cf. Rubus chamaemorus,cf_rubus_chamaemorus
cf. Rubus idaeus,cf_rubus_idaeus
cf. Rutaceae,cf_rutaceae
cf. Salix herbacea,cf_salix_herbacea
cf. Salix polaris,cf_salix_polaris
cf. Sambucus,cf_sambucus
cf. Sambucus nigra,cf_sambucus_nigra
cf. Sambucus racemosa,cf_sambucus_racemosa
cf. Sapindaceae,cf_sapindaceae
cf. Sapium,cf_sapium
cf. Sapotaceae,cf_sapotaceae
cf. Sarcobatus vermiculatus,cf_sarcobatus_vermiculatus
cf. Schefflera,cf_schefflera
cf. Scolopia,cf_scolopia
cf. Sebastiania,cf_sebastiania
cf. Shepherdia,cf_shepherdia
cf. Simarouba amara,cf_simarouba_amara
cf. Sorbus,cf_sorbus
cf. Sorbus aucuparia,cf_sorbus_aucuparia
cf. Spondias,cf_spondias
cf. Sterculia,cf_sterculia
cf. Streblus,cf_streblus
cf. Symmeria,cf_symmeria
cf. Tabernaemontana,cf_tabernaemontana
cf. Tachigali,cf_tachigali
cf. Talisia,cf_talisia
cf. Tanaecium,cf_tanaecium
cf. Taxus,cf_taxus
cf. Thrinax/Iriartea,cf_thrinax_iriartea
cf. Thymelaeaceae,cf_thymelaeaceae
cf. Trema,cf_trema
cf. Trema/Lozanella,cf_trema_lozanella
cf. Trichilia,cf_trichilia
cf. Tristerix,cf_tristerix
cf. Tsuga,cf_tsuga
cf. Tynanthus,cf_tynanthus
cf. Vaccinium,cf_vaccinium
cf. Viburnum,cf_viburnum
cf. Viburnum opulus,cf_viburnum_opulus
cf. Viscum,cf_viscum
cf. Vitex,cf_vitex
cf. Vitis,cf_vitis
cf. Weinmannia,cf_weinmannia
cf. Zamia,cf_zamia
cf. Zanthoxylum,cf_zanthoxylum
cf. Zelkova,cf_zelkova
cf. Ziziphus,cf_ziziphus
cf. Zollernia,cf_zollernia
Chaetachme,chaetachme
Chaetachme aristata,chaetachme_aristata
Chamaebatiaria millefolium,chamaebatiaria_millefolium
Chamaecyparis-type,chamaecyparis_type
Chamaecyparis thyoides,chamaecyparis_thyoides
Chamaedaphne,chamaedaphne
Chamaedaphne calyculata,chamaedaphne_calyculata
Chamaedorea,chamaedorea
Chamaerops,chamaerops
Chamaerops humilis,chamaerops_humilis
Cheiloclinium,cheiloclinium
Chelonanthus,chelonanthus
Chelyocarpus,chelyocarpus
Chiococca,chiococca
Chloranthaceae undiff.,chloranthaceae_undiff
Chomelia,chomelia
Chomelia-type,chomelia_type
Chrozophora brocchiana-type,chrozophora_brocchiana_type
Chrysobalanaceae,chrysobalanaceae
Chrysobalanaceae undiff.,chrysobalanaceae_undiff
Chrysobalanus,chrysobalanus
Chrysobalanus-type,chrysobalanus_type
Chrysobalanus/Parinari,chrysobalanus_parinari
Chrysolepis,chrysolepis
Chrysolepis-type,chrysolepis_type
Chrysolepis/Lithocarpus,chrysolepis_lithocarpus
Chrysophyllum,chrysophyllum
Chrysophyllum bangweolense-type,chrysophyllum_bangweolense_type
Chrysophyllum marginatum,chrysophyllum_marginatum
Chrysophyllum undiff.,chrysophyllum_undiff
Chrysophyllum viride-type,chrysophyllum_viride_type
Cissampelos,cissampelos
Cissampelos-type,cissampelos_type
Cissampelos-type mucronata,cissampelos_type_mucronata
Cissampelos cf. C. mucronata,cissampelos_cf_c_mucronata
Cissampelos mucronata,cissampelos_mucronata
Cissampelos mucronata-type,cissampelos_mucronata_type
Cissus,cissus
Cissus-type,cissus_type
Cissus-type quadrangularis,cissus_type_quadrangularis
Cissus quadrangularis-type,cissus_quadrangularis_type
Cistus,cistus
Cistus-type,cistus_type
Cistus albidus-type,cistus_albidus_type
Cistus cf. C. albidus,cistus_cf_c_albidus
Cistus cf. C. incanus,cistus_cf_c_incanus
Cistus monspeliensis-type,cistus_monspeliensis_type
Citrus,citrus
Claoxylon,claoxylon
Classopollis,classopollis
Clausena,clausena
Clausena-type anisata,clausena_type_anisata
Clausena anisata,clausena_anisata
Cleidion,cleidion
Cleistanthus,cleistanthus
Cleistanthus-type,cleistanthus_type
Cleistanthus-type libericus,cleistanthus_type_libericus
Cleistanthus-type polystachyus,cleistanthus_type_polystachyus
Cleistocalyx,cleistocalyx
Clerodendrum,clerodendrum
Clethra,clethra
Clethra-type,clethra_type
Clethra (type 2),clethra_type_2
Clethra undiff.,clethra_undiff
Clethraceae,clethraceae
Cliffortia,cliffortia
Cliffortia nitidula,cliffortia_nitidula
Cliffortia nitidula-type,cliffortia_nitidula_type
Clitandra,clitandra
Clusia,clusia
Clusia-type,clusia_type
Clusia criuva,clusia_criuva
Clusiaceae,clusiaceae
Clusiaceae/Hypericaceae cf. Hypericum,clusiaceae_hypericaceae_cf_hypericum
Clusiella sp.,clusiella_sp
Clutia,clutia
Clutia-type,clutia_type
Clutia abyssinica,clutia_abyssinica
Cnestis-type,cnestis_type
Coccoloba,coccoloba
Coccoloba-type,coccoloba_type
Cocculus pendulus,cocculus_pendulus
Cocculus pendulus-type,cocculus_pendulus_type
Cochlospermum,cochlospermum
Cocos,cocos
Codia,codia
Coffea,coffea
Coffea-type,coffea_type
Cola,cola
Cola cf. C. cordifolia,cola_cf_c_cordifolia
Colignonia,colignonia
Colignonia-type,colignonia_type
Collaea,collaea
Colletia,colletia
Colophospermum mopane,colophospermum_mopane
Colubrina,colubrina
Combretaceae,combretaceae
Combretaceae-type,combretaceae_type
Combretaceae undiff.,combretaceae_undiff
Combretaceae/Melastomataceae,combretaceae_melastomataceae
Combretaceae/Melastomataceae-type,combretaceae_melastomataceae_type
Combretaceae/Melastomataceae undiff.,combretaceae_melastomataceae_undiff
Combretum,combretum
Combretum-type,combretum_type
Combretum-type (C. molle),combretum_type_c_molle
Combretum-type aculeatum,combretum_type_aculeatum
Combretum-type molle,combretum_type_molle
Combretum aculeatum,combretum_aculeatum
Combretum aculeatum-type,combretum_aculeatum_type
Combretum glutinosum,combretum_glutinosum
Combretum molle-type,combretum_molle_type
Combretum paniculatum,combretum_paniculatum
Comesperma,comesperma
Commelina-type benghalensis,commelina_type_benghalensis
Commersonia,commersonia
Commiphora,commiphora
Commiphora-type,commiphora_type
Commiphora africana,commiphora_africana
Commiphora africana-type,commiphora_africana_type
Commiphora edulis-type,commiphora_edulis_type
Commiphora edulis subsp. boiviniana-type,commiphora_edulis_subsp_boiviniana_type
Comptonia,comptonia
Comptonia peregrina,comptonia_peregrina
Coniferae,coniferae
Coniferae-type,coniferae_type
Coniferae (saccate),coniferae_saccate
Coniferae undiff.,coniferae_undiff
Connaraceae,connaraceae
Connarus,connarus
Connarus-type,connarus_type
Conocarpus,conocarpus
Conocarpus-type,conocarpus_type
Conocarpus erectus,conocarpus_erectus
Copaifera,copaifera
Copaifera-type,copaifera_type
Copaifera aff. C. coriacea,copaifera_aff_c_coriacea
Coprosma,coprosma
Coprosma/Pomax,coprosma_pomax
Coptosperma-type (C. graveolens),coptosperma_type_c_graveolens
Coptosperma-type graveolens,coptosperma_type_graveolens
Cordia,cordia
Cordia-type,cordia_type
Cordia (type 1),cordia_type_1
Cordia (type 2),cordia_type_2
Cordia africana-type,cordia_africana_type
Cordia cf. C. bicolor,cordia_cf_c_bicolor
Cordia cf. C. cylindrostachya,cordia_cf_c_cylindrostachya
Cordia cylindrostachya,cordia_cylindrostachya
Cordia cylindrostachya-type,cordia_cylindrostachya_type
Cordia gerascanthus-type,cordia_gerascanthus_type
Cordia platythyrsa-type,cordia_platythyrsa_type
Cordia/Hilsenbergia-type,cordia_hilsenbergia_type
Cordyline,cordyline
Coriaria,coriaria
Coriaria myrtifolia,coriaria_myrtifolia
Cornaceae,cornaceae
Cornaceae-type,cornaceae_type
Cornus,cornus
Cornus alternifolia,cornus_alternifolia
Cornus canadensis,cornus_canadensis
Cornus canadensis-type,cornus_canadensis_type
Cornus cf. C. rugosa,cornus_cf_c_rugosa
Cornus cf. C. sericea,cornus_cf_c_sericea
Cornus cf. C. suecica,cornus_cf_c_suecica
Cornus florida,cornus_florida
Cornus mas,cornus_mas
Cornus mas-type,cornus_mas_type
Cornus mas/C. suecica,cornus_mas_c_suecica
Cornus racemosa,cornus_racemosa
Cornus rugosa,cornus_rugosa
Cornus sanguinea,cornus_sanguinea
Cornus sanguinea-type,cornus_sanguinea_type
Cornus sericea,cornus_sericea
Cornus sericea-type,cornus_sericea_type
Cornus subg. Afrocrania,cornus_subg_afrocrania
Cornus suecica,cornus_suecica
Cornus suecica-type,cornus_suecica_type
Cornus suecica (thick wall),cornus_suecica_thick_wall
Cornus unalaschkensis,cornus_unalaschkensis
Cornus undiff.,cornus_undiff
Cornus volkensii,cornus_volkensii
Correa,correa
Corylus,corylus
Corylus-type,corylus_type
Corylus (corroded),corylus_corroded
Corylus americana,corylus_americana
Corylus avellana,corylus_avellana
Corylus avellana-type,corylus_avellana_type
Corylus cornuta,corylus_cornuta
Corylus/Myrica,corylus_myrica
Corylus/Myrica undiff.,corylus_myrica_undiff
Corymbia,corymbia
Corymbia terminalis,corymbia_terminalis
Cotinus-type,cotinus_type
Cotinus coggygria,cotinus_coggygria
Cotoneaster,cotoneaster
Cotoneaster-type,cotoneaster_type
Couepia,couepia
Couepia sp.,couepia_sp
Coula edulis,coula_edulis
Couratari,couratari
Coussapoa,coussapoa
Coutarea,coutarea
Crataegus,crataegus
Crataegus-type,crataegus_type
Crataegus monogyna,crataegus_monogyna
Craterispermum,craterispermum
Crateva-type adansonii,crateva_type_adansonii
Crateva adansonii,crateva_adansonii
Crescentia,crescentia
Cressa,cressa
Cressa-type,cressa_type
Cressa-type (C. cretica),cressa_type_c_cretica
Crossopetalum,crossopetalum
Crossopteryx-type,crossopteryx_type
Crossopteryx-type febrifuga,crossopteryx_type_febrifuga
Crossopteryx febrifuga,crossopteryx_febrifuga
Croton,croton
Croton-type,croton_type
Croton-type I,croton_type_i
Croton-type II,croton_type_ii
Croton-type III,croton_type_iii
Croton sect. Julocroton,croton_sect_julocroton
Croton undiff.,croton_undiff
Croton/Neoboutonia,croton_neoboutonia
Crudia-type,crudia_type
Crudia-type (C. zenkeri),crudia_type_c_zenkeri
Crudia-type gabonensis,crudia_type_gabonensis
Crudia amazonica,crudia_amazonica
Cryosophila,cryosophila
Cryptocarpus,cryptocarpus
Cryptomeria,cryptomeria
Cunoniaceae,cunoniaceae
Cunoniaceae (dicolpate),cunoniaceae_dicolpate
Cunoniaceae (tricolpate),cunoniaceae_tricolpate
Cunoniaceae cf. Weinmannia,cunoniaceae_cf_weinmannia
Cunoniaceae/Elaeocarpaceae,cunoniaceae_elaeocarpaceae
Cupania,cupania
Cupania (type 1),cupania_type_1
Cupania (type 2),cupania_type_2
Cupania (type 3),cupania_type_3
Cupaniopsis,cupaniopsis
Cupressaceae,cupressaceae
Cupressaceae-type,cupressaceae_type
Cupressaceae cf. Thuja occidentalis,cupressaceae_cf_thuja_occidentalis
Cupressaceae undiff.,cupressaceae_undiff
Cupressaceae/Taxaceae,cupressaceae_taxaceae
Cupressaceae/Taxaceae undiff.,cupressaceae_taxaceae_undiff
Cupressus,cupressus
Cupressus lusitanica,cupressus_lusitanica
Curatella,curatella
Curatella-type,curatella_type
Curatella americana,curatella_americana
Curatella americana (type 1),curatella_americana_type_1
Curatella americana (type 2),curatella_americana_type_2
Curatella americana (type 3),curatella_americana_type_3
Cussonia,cussonia
Cussonia-type,cussonia_type
Cussonia/Schefflera,cussonia_schefflera
Cybianthus,cybianthus
Cybianthus-type,cybianthus_type
Cyclophyllum,cyclophyllum
Cyclophyllum barbatum,cyclophyllum_barbatum
Cylicodiscus,cylicodiscus
Cynodendron,cynodendron
Cynometra-type,cynometra_type
Cyphostemma-type,cyphostemma_type
Cyphostemma-type (C. cyphopetalum),cyphostemma_type_c_cyphopetalum
Cyphostemma mappia,cyphostemma_mappia
Cyrilla racemiflora,cyrilla_racemiflora
Cyrilla sp.,cyrilla_sp
Cytisus,cytisus
Cytisus-type,cytisus_type
Cytisus grandiflorus,cytisus_grandiflorus
Cytisus scoparius,cytisus_scoparius
Cytisus/Genista-type,cytisus_genista_type
Dacrycarpus,dacrycarpus
Dacrycarpus (trisaccate),dacrycarpus_trisaccate
Dacrycarpus dacrydioides,dacrycarpus_dacrydioides
Dacrydium,dacrydium
Dacrydium-type,dacrydium_type
Dacrydium cupressinum,dacrydium_cupressinum
Dacryodes,dacryodes
Dacryodes-type,dacryodes_type
Dalbergia,dalbergia
Dalbergia-type,dalbergia_type
Dalbergia (type 1),dalbergia_type_1
Dalbergia (type 2),dalbergia_type_2
Dalechampia,dalechampia
Dalechampia-type,dalechampia_type
Daphne,daphne
Daphne-type,daphne_type
Daphne gnidium,daphne_gnidium
Daphne gnidium-type,daphne_gnidium_type
Daphne laureola,daphne_laureola
Daphne mezereum,daphne_mezereum
Daphne/Thymelaea,daphne_thymelaea
Daphnopsis,daphnopsis
Daphnopsis cf. D. beta,daphnopsis_cf_d_beta
Daviesia,daviesia
Daviesia-type,daviesia_type
Decaspermum,decaspermum
Dendrobangia,dendrobangia
Desfontainia,desfontainia
Desmoncus,desmoncus
Detarium,detarium
Dialium,dialium
Dialium guineense,dialium_guineense
Dianella-type,dianella_type
Diatenopteryx,diatenopteryx
Dichrostachys,dichrostachys
Dichrostachys cinerea,dichrostachys_cinerea
Dichrostachys cinerea-type,dichrostachys_cinerea_type
Dictamnus albus,dictamnus_albus
Dictyocaryum,dictyocaryum
Dictyosperma-type,dictyosperma_type
Didelotia-type,didelotia_type
Didymopanax,didymopanax
Didymopanax-type,didymopanax_type
Didymopanax (excluding Schefflera),didymopanax_excluding_schefflera
Didymopanax distractiflorus/vinosus,didymopanax_distractiflorus_vinosus
Didymotheca,didymotheca
Diervilla,diervilla
Diervilla lonicera,diervilla_lonicera
Dillenia,dillenia
Dilleniaceae,dilleniaceae
Dilleniaceae cf. Hibbertia,dilleniaceae_cf_hibbertia
Dinizia,dinizia
Dioclea,dioclea
Dioclea-type,dioclea_type
Dioicodendron,dioicodendron
Diospyros,diospyros
Diospyros-type,diospyros_type
"Diospyros (Mauritius type 326, de Boer)",diospyros_mauritius_type_326_de_boer
"Diospyros (Mauritius type 363, de Boer)",diospyros_mauritius_type_363_de_boer
Diploon,diploon
Dipterocarpaceae,dipterocarpaceae
Dipterocarpaceae undiff.,dipterocarpaceae_undiff
Dipterygium,dipterygium
Dipteryx,dipteryx
Dipteryx sp.,dipteryx_sp
Discaria,discaria
Discaria toumatou,discaria_toumatou
Dissotis-type,dissotis_type
Distemonanthus benthamianus,distemonanthus_benthamianus
Dobera,dobera
Dodonaea,dodonaea
Dodonaea-type,dodonaea_type
"Dodonaea (Mauritius type 128, de Boer)",dodonaea_mauritius_type_128_de_boer
"Dodonaea (Mauritius type 167, de Boer)",dodonaea_mauritius_type_167_de_boer
Dodonaea (reticulate),dodonaea_reticulate
Dodonaea viscosa,dodonaea_viscosa
Dodonaea viscosa-type,dodonaea_viscosa_type
Dodonaea viscosa var. angustifolia,dodonaea_viscosa_var_angustifolia
Dolicholobium,dolicholobium
Doliocarpus,doliocarpus
Dombeya,dombeya
Dombeya-type,dombeya_type
Dombeya cf. D. buetnerii,dombeya_cf_d_buetnerii
Dombeya elliptica-type,dombeya_elliptica_type
Dombeya quinqueseta,dombeya_quinqueseta
Dorstenia kameruniana,dorstenia_kameruniana
Dovyalis,dovyalis
Dracaena,dracaena
Dracaena-type,dracaena_type
Dracaena afromontana-type,dracaena_afromontana_type
Dracaena steudneri,dracaena_steudneri
Dracaena steudneri-type,dracaena_steudneri_type
Dracophyllum,dracophyllum
Drapetes,drapetes
Drimys,drimys
Drimys brasiliensis,drimys_brasiliensis
Drimys winteri,drimys_winteri
Drimys winteri-type,drimys_winteri_type
Drypetes,drypetes
Drypetes-type,drypetes_type
Drypetes-type (D. gossweileri),drypetes_type_d_gossweileri
Duroia,duroia
Dypsis,dypsis
Dysoxylum,dysoxylum
Ebenaceae,ebenaceae
Echites,echites
Ehretia cymosa,ehretia_cymosa
Ekebergia,ekebergia
Ekebergia-type,ekebergia_type
Ekebergia-type (E. capensis),ekebergia_type_e_capensis
Ekebergia-type capensis,ekebergia_type_capensis
Elaeagia-type,elaeagia_type
Elaeagnaceae,elaeagnaceae
Elaeagnaceae undiff.,elaeagnaceae_undiff
Elaeagnus,elaeagnus
Elaeagnus commutata,elaeagnus_commutata
Elaeagnus/Shepherdia argentea,elaeagnus_shepherdia_argentea
Elaeis,elaeis
Elaeis guineensis,elaeis_guineensis
Elaeocarpaceae,elaeocarpaceae
Elaeocarpaceae (type 1),elaeocarpaceae_type_1
Elaeocarpaceae cf. Sloanea,elaeocarpaceae_cf_sloanea
Elaeocarpaceae undiff.,elaeocarpaceae_undiff
Elaeocarpus,elaeocarpus
Elaeoluma,elaeoluma
Elaeoluma aff. E. nuda,elaeoluma_aff_e_nuda
Elaeoluma glabrescens,elaeoluma_glabrescens
Elattostachys,elattostachys
Elytropus,elytropus
Embelia,embelia
Embelia-type,embelia_type
Embelia-type (E. schimperi),embelia_type_e_schimperi
Embothrium,embothrium
Embothrium coccineum,embothrium_coccineum
Emmotum,emmotum
Empetrum,empetrum
Empetrum-type,empetrum_type
Empetrum cf. E. nigrum,empetrum_cf_e_nigrum
Empetrum hermaphroditum,empetrum_hermaphroditum
Empetrum nigrum,empetrum_nigrum
Empetrum nigrum-type,empetrum_nigrum_type
Encelia,encelia
Endopleura,endopleura
Endospermum,endospermum
Engelhardia,engelhardia
Engelhardia-type,engelhardia_type
Englerina,englerina
Englerophytum,englerophytum
Entada,entada
Entada-type,entada_type
Entandrophragma,entandrophragma
Entandrophragma-type,entandrophragma_type
Epacrideae,epacrideae
Epacrideae undiff.,epacrideae_undiff
Epacris,epacris
Epacris-type,epacris_type
Epacris serpyllifolia,epacris_serpyllifolia
Ephedra,ephedra
Ephedra (branched folds),ephedra_branched_folds
Ephedra (simple folds),ephedra_simple_folds
Ephedra alata-type,ephedra_alata_type
Ephedra cf. E. distachya,ephedra_cf_e_distachya
Ephedra cf. E. fragilis,ephedra_cf_e_fragilis
Ephedra cf. E. tweediana,ephedra_cf_e_tweediana
Ephedra chilensis,ephedra_chilensis
Ephedra distachya,ephedra_distachya
Ephedra distachya-type,ephedra_distachya_type
Ephedra distachya subsp. helvetica-type,ephedra_distachya_subsp_helvetica_type
Ephedra distachya/E. major subsp. major,ephedra_distachya_e_major_subsp_major
Ephedra foeminea-type,ephedra_foeminea_type
Ephedra fragilis,ephedra_fragilis
Ephedra fragilis-type,ephedra_fragilis_type
Ephedra intermedia-type,ephedra_intermedia_type
Ephedra major,ephedra_major
Ephedra major-type,ephedra_major_type
Ephedra major subsp. major,ephedra_major_subsp_major
Ephedra nevadensis,ephedra_nevadensis
Ephedra nevadensis-type,ephedra_nevadensis_type
Ephedra sp.,ephedra_sp
Ephedra strobilacea,ephedra_strobilacea
Ephedra strobilacea-type,ephedra_strobilacea_type
Ephedra torreyana,ephedra_torreyana
Ephedra torreyana-type,ephedra_torreyana_type
Ephedra trifurca-type,ephedra_trifurca_type
Ephedra undiff.,ephedra_undiff
Ephedra viridis,ephedra_viridis
Ephedra viridis-type,ephedra_viridis_type
Ephedraceae,ephedraceae
Ephippiandra,ephippiandra
Eremophila,eremophila
Erica,erica
Erica-type,erica_type
Erica-type arborea,erica_type_arborea
Erica arborea,erica_arborea
Erica arborea-type,erica_arborea_type
Erica australis,erica_australis
Erica australis-type,erica_australis_type
Erica cf. E. arborea/multiflora,erica_cf_e_arborea_multiflora
Erica cf. E. tetralix,erica_cf_e_tetralix
Erica ciliaris,erica_ciliaris
Erica ciliaris-type,erica_ciliaris_type
Erica cinerea,erica_cinerea
Erica cinerea/E. tetralix,erica_cinerea_e_tetralix
Erica mediterranea,erica_mediterranea
Erica multiflora-type,erica_multiflora_type
Erica scoparia-type,erica_scoparia_type
Erica tetralix,erica_tetralix
Erica tetralix-type,erica_tetralix_type
Erica umbellata,erica_umbellata
Erica umbellata-type,erica_umbellata_type
Erica undiff.,erica_undiff
Erica/Arbutus,erica_arbutus
Ericaceae,ericaceae
Ericaceae-type,ericaceae_type
"Ericaceae (psilate, 35-40 µm)",ericaceae_psilate_35_minus_40_mu_m
"Ericaceae (scabrate, 40-50 µm)",ericaceae_scabrate_40_minus_50_mu_m
Ericaceae (type 1),ericaceae_type_1
Ericaceae (type 2),ericaceae_type_2
Ericaceae (type 3),ericaceae_type_3
"Ericaceae (verrucate, 35 µm)",ericaceae_verrucate_35_mu_m
Ericaceae cf. Calluna,ericaceae_cf_calluna
Ericaceae cf. Cassiope,ericaceae_cf_cassiope
Ericaceae cf. Ledum,ericaceae_cf_ledum
Ericaceae cf. Vaccinium,ericaceae_cf_vaccinium
Ericaceae undiff.,ericaceae_undiff
Ericales,ericales
Ericales (tetrad),ericales_tetrad
Ericales undiff.,ericales_undiff
Ericoideae,ericoideae
Eriocoelum-type,eriocoelum_type
Eriocoelum macrocarpum-type,eriocoelum_macrocarpum_type
